htm,alg,notes
11,B F' U2 B' F U2 B F' U B' F,
11,B F' U2 B' F U2 B' F' U2 B F,
11,B F' U2 B' F U2 L R U2 L' R',
11,B F' U2 B' F' L2 B F L2 B' F,
11,B F' U2 B2 L' R B' L R' B F,
11,B F' U2 B2 L' R B2 L R' B F,
11,B F' U2 L R' F2 D2 L' R B' F',
11,B F' U2 L R' U2 L' R U2 B F,
11,B F' U2 L' R B L R' U B' F,
11,B F' U2 L' R B' L R' U' B' F,
11,B F' U2 L' R B' L R' U2 B' F,
11,B F' U2 L' R B2 L R' U' B' F,
11,B F2 L F L F' L2 B' F U' F,
11,B F2 L F L' B' F U F' U2 F,
11,B F2 L F L' B' F U2 F' U F,
11,B F2 L' F L' F' L B' F U' F,
11,B F2 L' F L2 F' L B' F U' F,
11,B L R' B' F R B F' L' R B2,
11,B L R' D' U' F' D U L' R B',
11,B L R' D' U' F' D U' L' R B,
11,B L R' U' D' F' U' D L' R B,
11,B L' B2 R B2 L B' U B' R' B,
11,B L' R D' U' B' D U L R' B',
11,B U B' U2 B' U B U R U' R',
11,B U D' B F' U B' F U' D B2,
11,B U D' B F' U' B' F U D B2,
11,B U' D L R' U2 L' R U D' B,
11,B U' D L R' U2 L' R U' D' B,
11,B U' D' B F' U B' F U' D B2,
11,B U' D' B F' U' B' F U D B2,
11,B U' F' L' F' L F U L B' F,
11,B U2 F' U' F U2 B' U F' U' F,
11,B' D' U B F' U B' F D U B,
11,B' D' U B F' U B' F D U' B,
11,B' D' U B F' U' B' F D U B,
11,B' D' U B F' U' B' F D U' B,
11,B' D' U' B F' U B' F D U B,
11,B' D' U' B F' U B' F D U' B,
11,B' D' U' B F' U' B' F D U B,
11,B' D' U' B F' U' B' F D U' B,
11,B' F D B F' R2 B' F D B F',
11,B' F D B F' U B' F D' B F',
11,B' F D B' F D B F' D' B F',
11,B' F D L' R' D2 L R' D B' F',
11,B' F D U F R' F' D' U' B F',
11,B' F D U F R2 F' D' U' B F',
11,B' F D U R D2 R D U' B F',
11,B' F D U R D2 R' D U' B F',
11,B' F D U R D2 R2 D U' B F',
11,B' F D U R' D U' B2 D2 B' F',
11,B' F D U R' D' U' F2 U2 B F,
11,B' F D U R' F2 D' U B F L2,
11,B' F D U R2 D' U' F2 U B F,
11,B' F D U R2 D2 R D U' B F',
11,B' F D U R2 D2 R' D U' B F',
11,B' F D U R2 D2 R2 D U' B F',
11,B' F D U' R D2 R' D U B F',
11,B' F D U' R2 U' R2 D' U B F',
11,B' F D U' R2 U2 R2 D' U B F',
11,B' F D' B' F D' B F' D B F',
11,B' F D' B' F D2 B F' D B F',
11,B' F D' B' F L2 B F' D' B F',
11,B' F D' U L2 B F' D B' F D,
11,B' F D' U L2 U' L2 D U' B F',
11,B' F D' U L2 U2 L2 D U' B F',
11,B' F D' U R D U' F2 U' B F,
11,B' F D' U R D2 R D' U' B F',
11,B' F D' U R' D U' F2 U' B F,
11,B' F D' U R' D2 R D' U' B F',
11,B' F D' U R' D2 R' D' U' B F',
11,B' F D' U R2 D U' F2 U' B F,
11,B' F D' U R2 D2 R D' U' B F',
11,B' F D' U' L2 D2 L2 D' U B F',
11,B' F D2 B F' U B F D2 B' F',
11,B' F D2 B F' U' B F D2 B' F',
11,B' F D2 B F' U' B' F D2 B F',
11,B' F D2 B F' U2 B F D2 B' F',
11,B' F D2 B' F D2 B F U2 B F,
11,B' F D2 B' F D2 B' F U B' F,
11,B' F D2 B2 L R' B2 L' R B' F',
11,B' F D2 L' R D2 L R' D2 B' F',
11,B' F D2 L' R F2 U2 L R' B F,
11,B' F L D' U R D U' L' B F',
11,B' F L R B' L' R' B F L' F2,
11,B' F L R B2 L R B F' D2 R2,
11,B' F L R B2 L' R D2 R2 B F',
11,B' F L R D' R2 D L' R B F',
11,B' F L R D2 L R' B2 L2 B F',
11,B' F L R D2 L' R' B F U2 F2,
11,B' F L R' B R B' L' R B F',
11,B' F L R' B2 L' R B2 D2 B' F',
11,B' F L R' D2 F2 L' R U B F,
11,B' F L R' D2 F2 L' R U2 B F,
11,B' F L R' D2 F2 U2 L' R B' F,
11,B' F L R' D2 L' R' F2 R2 B F,
11,B' F L R' U2 F2 L' R U2 B' F',
11,B' F L U D' R U' D L' B F',
11,B' F L' R B' D2 B L R' B' F',
11,B' F L' R D2 L R B R2 B' F',
11,B' F L' R D2 L R B' R2 B' F',
11,B' F L' R D2 L R B2 R2 B' F',
11,B' F L' R D2 L R' F2 U' B' F,
11,B' F L' R F' R' F L R' B F',
11,B' F L' R F' R2 F L R' B F',
11,B' F L' R U2 B2 D2 L R' B' F,
11,B' F L' R' B2 L' R D2 L2 B F',
11,B' F L' R' D R2 D L R' B' F',
11,B' F L' R' D2 L R B F' U2 B2,
11,B' F L' R' D2 L R B' F' U2 B2,
11,B' F L' R' D2 L R' B F' R2 B2,
11,B' F L' R' D2 L R' B2 R2 B F',
11,B' F L2 B2 L' R D2 L' R' B F',
11,B' F L2 D U R' D' U' L2 B F',
11,B' F L2 D U R2 D' U' L2 B F',
11,B' F L2 D2 L R' B2 L R B F',
11,B' F R B R2 F' R U' B U' B',
11,B' F R B' F' R2 B F R' B F',
11,B' F R D U R2 D' U' R B F',
11,B' F R' B F' R B' F R B F',
11,B' F R' B F' R2 B' F R B F',
11,B' F R' B F2 U' F U B' R B,
11,B' F R' B F2 U' F U B' R B,
11,B' F R' B' F' R2 B F R B F',
11,B' F R' D U R2 D' U' R' B F',
11,B' F R' F' R U' B U' B' U2 B,
11,B' F R2 B F' R2 B' F' U B F,
11,B' F R2 B F' R2 B' F' U2 B F,
11,B' F R2 B' F' D U' B2 D' U B2,
11,B' F R2 B' F' R2 B F' U' B F,
11,B' F R2 B' F' R2 B' F' U' B' F,
11,B' F R2 B' F' U' D B2 U D' B2,
11,B' F R2 B2 L' R D2 L R B F',
11,B' F R2 D U F2 D U B F L2,
11,B' F R2 D U R' D' U' R2 B F',
11,B' F R2 D U R2 D' U' R2 B F',
11,B' F R2 D' U R' D U' B F' R2,
11,B' F R2 D' U R2 D U' B F' R2,
11,B' F R2 D2 L R' B2 L' R' B F',
11,B' F R2 U D F2 U D B F L2,
11,B' F R2 U D' R' U' D B F' R2,
11,B' F R2 U D' R2 U' D B F' R2,
11,B' F U D R D2 R U' D B F',
11,B' F U D R D2 R' U' D B F',
11,B' F U D R D2 R2 U' D B F',
11,B' F U D R' F2 U D' B F L2,
11,B' F U D R' U' D B2 D2 B' F',
11,B' F U D R2 D2 R U' D B F',
11,B' F U D R2 D2 R' U' D B F',
11,B' F U D R2 D2 R2 U' D B F',
11,B' F U D' L2 B F' D B' F D,
11,B' F U D' R D2 R U' D' B F',
11,B' F U D' R U' D F2 U' B F,
11,B' F U D' R' D2 R U' D' B F',
11,B' F U D' R' D2 R' U' D' B F',
11,B' F U D' R' U' D F2 U' B F,
11,B' F U D' R2 D2 R U' D' B F',
11,B' F U D' R2 U' D F2 U' B F,
11,B' F U' D R D2 R' U D B F',
11,B' F U' D' L2 D2 L2 U D' B F',
11,B' F U' L' R D2 L R' U B' F',
11,B' F U2 L R' F2 U2 L' R B' F',
11,B' F U2 L2 B F' L R' D2 L R,
11,B' F' D B F' L' B' F D' B F,
11,B' F' D B F' L2 B' F D' B F,
11,B' F' D U B L B' D' U B F,
11,B' F' D U B L' B' D' U B F,
11,B' F' D U B L2 B' D' U B F,
11,B' F' D U B L2 B' D' U' B F,
11,B' F' D U F U F' D' U B F,
11,B' F' D U F U F' D' U' B F,
11,B' F' D U F U' F' D' U B F,
11,B' F' D U F U2 F' D' U B F,
11,B' F' D U F U2 F' D' U' B F,
11,B' F' D U L' U L D' U' B F,
11,B' F' D U L' U' L D' U' B F,
11,B' F' D U L2 D' U B F U2 B2,
11,B' F' D U L2 D' U B' F U2 B2,
11,B' F' D U' B L B' D' U' B F,
11,B' F' D U' B L' B' D' U B F,
11,B' F' D U' B L2 B' D' U B F,
11,B' F' D U' B2 D U' L2 D2 B' F,
11,B' F' D U' F U F' D' U' B F,
11,B' F' D U' F U' F' D' U B F,
11,B' F' D U' F U2 F' D' U B F,
11,B' F' D U' L' U L D' U' B F,
11,B' F' D U' L' U' L D' U B F,
11,B' F' D U' L' U' L D' U' B F,
11,B' F' D U' L' U2 L D' U' B F,
11,B' F' D U' L2 U L2 D' U' B F,
11,B' F' D U' L2 U' L2 D' U B F,
11,B' F' D U' L2 U' L2 D' U' B F,
11,B' F' D U' L2 U2 L2 D' U' B F,
11,B' F' D' B F' D U' R2 B' F D',
11,B' F' D' B F' D' U B' F L2 D,
11,B' F' D' B F' U D' B' F L2 D,
11,B' F' D' B F' U' D R2 B' F D',
11,B' F' D' B' F R' B F' D B F,
11,B' F' D' B' F R2 B F' D B F,
11,B' F' D' L R' U2 L' R D B' F,
11,B' F' D' U B U2 B' D U' B F,
11,B' F' D' U B2 D U' L2 U' B' F,
11,B' F' D' U B2 D U' L2 U2 B' F,
11,B' F' D' U F R F' D U B F,
11,B' F' D' U F R' F' D U' B F,
11,B' F' D' U F R2 F' D U' B F,
11,B' F' D' U L2 D U L2 B F L2,
11,B' F' D' U R' U R D U B F,
11,B' F' D' U R' U' R D U B F,
11,B' F' D' U R' U' R D U' B F,
11,B' F' D' U R' U2 R D U B F,
11,B' F' D' U R2 U R2 D U B F,
11,B' F' D' U R2 U' R2 D U B F,
11,B' F' D' U R2 U' R2 D U' B F,
11,B' F' D' U R2 U2 R2 D U B F,
11,B' F' D' U' B U B' D U' B F,
11,B' F' D' U' B U2 B' D U B F,
11,B' F' D' U' B U2 B' D U' B F,
11,B' F' D' U' B2 D U' L2 U B' F,
11,B' F' D' U' F R F' D U' B F,
11,B' F' D' U' F R' F' D U' B F,
11,B' F' D' U' F R2 F' D U B F,
