alg,notes
F' L2 D2 R' B' R D2 L' F L',c
B' R2 F D R' D' R F' R2 B,c
R' F2 L D F' D' F2 L' F R,c
F' L2 B L B2 L F L' B L,c
R' F2 L F L2 U L U' F R,c
F' L2 B L' D L D' B' L2 F,c
R' F2 L F2 L' R U' L' U L,c
F' L2 B' R' B L2 B' R B F,c
F' L2 B2 D' B' D L B' L F,c
L' B2 R2 B R2 B L R U2 R',c
R' F2 U B U' F2 U B' U' R,c
F' U F L R' D' F' D L' R,c
R' U R U' F U R' U' R F',RFU c
L' U L U2 L' R' U L U' R,c
B' U B U2 B' U' R' U2 R B,RFU c
B' U B2 U' F' U B2 U' B F,c
R' U L D' L' U' L D L' R,c
L' U R B U2 B' U' L U' R',c
B' U F R2 U R2 U' R2 B F',c
F' U B U' F U2 L U' L' B',c
R' U L U' F' U' F U L' R,c
L' U R' D2 R U' R' D2 L R,c
L' U R' U' L R U2 R' U' R,c
L' U R' U' L U' F' U2 F R,c
L' U R' U' R2 D B2 D' L R',c
L' U R' U2 L U' L' U2 L R,c
B' U L D2 L' U' L D2 L' B,c
R' U B L U' L' B' R' U R2,c
B' U L U F U' F' L' U2 B,c
B' U L U' R' U L' U' R B,c
B' U L U' R2 U L' U' R2 B,c
B' U L U2 R' U' R U2 L' B,c
L' U F2 D2 R' B2 D' R D' F2,c
B' U R B' R' B R' U' R B,RFU c
L' U B L' B' L2 U F U2 F',c
L' U B U' B' U' L B U2 B',RFU c
L' U B U2 B' U' L B U' B',RFU c
L' U B' R' U' R B2 L' B' L2,c
B' U R' U' R B U B' U2 B,RFU c
L' U B' U' B L U2 L' U L,RFU c
R' U' L R U2 R' U' R U2 L',c
F' U' F R B L U L' B' R',c
R' U' R B U L U2 L' U' B',c
R' U' R B U B' U' R' U2 R,RFU c
B' U' B L U' F U2 F' U' L',c
B' U' B L U' L' U' B' U2 B,RFU c
B' U' B L U2 F U2 F' U' L',c
B' U' B L U2 L' U' B' U2 B,RFU c
R' U' R B' D' F R F' D B,c
B' U' B L' R D' B D L R',c
B' U' B L2 D R' F R D' L2,c
R' U' R B2 F' D L D' B2 F,c
L' U' L B L' B' U B L B',RFU c
B' U' B R B' U B2 U' B' R',RFU c
R' U' R F U' R' U2 R U F',RFU c
R' U' R F' R' F U F' R F,RFU c
L' U' L U L R' F' L' F R,c
R' U' R U L' R B2 R' B2 L,c
B' U' B U B' U R B' R' B2,RFU c
B' U' B U F U' B' U B F',c
R' U' R U F R B' R' B F',c
L' U' L U' L' U B' U B L,RFU c
R' U' R U' L' B2 R B2 L R',c
F' U' F U' R' F R F2 U2 F,RFU c
B' U' B U2 B' R' U R U' B,RFU c
R' U' R U2 B U B' R' U2 R,RFU c
L' U' L' U R U' L U L R',c
R' U' R2 B U B' U' R2 U2 R,RFU c
R' U' R2 B' R' B U B U2 B',RFU c
R' U' R2 B' R' B2 L U' L' B',c
R' U' L D' L' U L D L' R,c
R' U' L U' F' U F U L' R,c
R' U' L U' F' U2 F R U L',c
R' U' L' F' L U L' F L R,c
F' U' L' R U' L U R' U F,c
B' U' L U' R' U L' R U B,c
B' U' L U' R' U L' U R B,c
B' U' R B' R' B R' U R B,RFU c
B' U' R B' R' B2 U' B' U2 B,RFU c
R' U' F D F' U F D' F' R,c
B' U' R U R' B U R U2 R',RFU c
F' U' L U2 L2 U' L2 U' L' F,RFU c
R' U' F' U R B' R' F R B,c
L' U' B' U R B L B' R' B,c
B' U' R' U F' R B R' F R,c
B' U' R' U F' U F U' R B,c
F' U' L' U L U' L' U L F,RFU c
L' U' B' U B' R B R' B L,c
R' U' F' U' L' U' L F U2 R,c
L' U' B' U2 B L U F U2 F',c
R' U' F' U2 F U R B U' B',c
B' U' R' U2 R U R' U' R B,RFU c
B' U' R' U2 R U' B L U' L',c
R' U' F' U2 F U' F' U' F R,RFU c
R' U' F' U2 F U2 R B U' B',c
R' U' F' U2 F U2 F' U' F R,RFU c
B' U' R2 D' R U R' D R2 B,c
R' U2 L R F R2 F R2 F2 L',c
B' U2 B F U' B' U F' U2 B,c
F' U2 F R B L U2 L' B' R',c
F' U2 F R U' R' U F' U2 F,RFU c
L' U2 L F U' F' U2 L' U L,RFU c
L' U2 L F2 R B' R B R2 F2,c
L' U2 L B U' L' U' L U B',RFU c
L' U2 L B' L' B U2 B' L B,RFU c
L' U2 L U L F' L' F2 U' F',RFU c
L' U2 L U L2 B L B' U L,RFU c
R' U2 R U B L U2 L' U' B',c
B' U2 B U L U F U F' L',c
B' U2 B U L U L' B' U B,RFU c
B' U2 B U L U' F U F' L',c
B' U2 B U L U' L' B' U B,RFU c
L' U2 L U F U2 R U R' F',c
B' U2 B U L U2 L' B' U B,RFU c
B' U2 B U L2 F' L' F U L',c
B' U2 B U R B' U B U' R',RFU c
B' U2 B U' B' R' U R U' B,RFU c
B' U2 B U' L U L' B' U2 B,RFU c
L' U2 L U2 L R' F' L' F R,c
B' U2 B U2 B' U R B' R' B2,RFU c
B' U2 B U2 F U' B' U B F',c
R' U2 R U2 F R B' R' B F',c
R' U2 L R' F R F' L' U2 R,c
B' U2 B' L2 F' L' F L2 B2 L,c
R' U2 R2 D B2 U B2 U' D' R',c
R' U2 R2 U' D2 L2 U L2 D2 R',c
B' U2 B2 L' B' L U B' U B,RFU c
R' U2 R2 B' R' B' L' B' L B',c
B' U2 B2 L2 F' L B' L2 F L',c
R' U2 R2 B2 L' B' L B2 R' B,c
R' U2 R2 U B U' B' R2 U R,RFU c
L' U2 R B L' B L B2 L R',c
L' U2 R B L' B' L R' U2 L,c
B' U2 F R' U R U' F' U2 B,c
F' U2 B U L' U' L B' U2 F,c
L' U2 R U' L U L' R' U2 L,c
L' U2 R U' R' U2 L R U' R',c
L' U2 R U2 R' U' R U' L R',c
F' U2 B' D2 B U2 B' D2 B F,c
B' U2 F' R' F U2 F' R B F,c
L' U2 F D2 F' U2 F D2 F' L,c
R' U2 B L U L' U' B' U' R,c
L' U2 F U2 F' L2 B L2 B' L,c
L' U2 F U2 B' U2 B U2 F' L,c
R' U2 B' U F' U' B U2 F R,c
L' U2 B L2 B' L2 F U2 F' L,c
L' U2 B D B' U2 B D' B' L,c
B' U2 R' F' U F U R U B,c
F2 D F D' F L2 B' U B L2,c
F2 D B' F R2 B F' U2 D' F2,c
F2 D F R2 B F' U2 B' D' F2,c
F2 D B F' U2 B' F R2 D' F2,c
F2 D F' U2 B' F R2 B D' F2,c
B2 D B2 D' R2 B2 U' B2 U R2,c
F2 D B U2 B' F R2 F' D' F2,c
F2 D B' R' B D' F2 L' U L,c
F2 D B' R2 B F' U2 F D' F2,c
R2 D B D' F2 D B' D' F2 R2,c
R2 D B U2 B' D' B U2 B' R2,c
F2 D R' D B2 R D2 F2 U' L,c
F2 D R2 B F' U2 B' F D' F2,c
F2 D R2 D' F2 L2 D' B2 D L2,c
F2 D R2 D' R2 U R2 U' R2 F2,c
F2 D R2 D' L2 D R2 D' L2 F2,c
F2 D R2 U' B2 U B2 D' R2 F2,c
F2 D R2 U' R2 F2 D' L2 U L2,c
F2 U2 D B' F R2 B F' D' F2,c
F2 D' B' F U2 B F' L2 D F2,c
F2 D' F U2 B F' L2 B' D F2,c
F2 D' F' D F' R2 B U' B' R2,c
F2 D' B F' L2 B' F U2 D F2,c
F2 D' F' L2 B' F U2 B D F2,c
B2 D' B2 D L2 B2 U B2 U' L2,c
F2 D' B L B' D F2 R U' R',c
F2 D' B L2 B' F U2 F' D F2,c
F2 D' B' U2 B F' L2 F D F2,c
R2 D' F D' L2 F' D2 R2 U B',c
L2 D' B' D F2 D' B D F2 L2,c
L2 D' B' U2 B D B' U2 B L2,c
F2 D' L2 B' F U2 B F' D F2,c
F2 D' L2 D F2 R2 D B2 D' R2,c
F2 D' L2 D R2 D' L2 D R2 F2,c
F2 D' L2 D L2 U' L2 U L2 F2,c
F2 D' L2 U B2 U' B2 D L2 F2,c
F2 D' L2 U L2 F2 D R2 U' R2,c
F2 U2 D' B F' L2 B' F D F2,c
L2 F D2 F' U F D2 F' U' L2,c
R2 B U B' R2 F D' F D F2,c
R2 B U2 B' D B U2 B' D' R2,c
B2 L' B' L U B' U B U' B',RFU c
L2 F' L' F U L' U2 L U2 L',RFU c
F2 R' F' R2 B U' B' R' U F',c
L2 F' L2 F R' F' L2 F L2 R,c
F2 R2 F L' U' L U F' R2 F2,c
B2 L2 B U' R' U R B' L2 B2,c
R2 B2 D L2 U' L2 U B2 D' R2,c
F2 R2 D' L' D R2 D' L D F2,c
L2 F2 D' B2 D F2 D' B2 D L2,c
B2 L2 D2 F2 L R D2 B2 L R,c
F2 R2 B L B' R2 B L' B' F2,c
L2 F2 R B2 L2 R B2 R F2 R,c
L2 F2 R B2 R' F2 R B2 L2 R',c
B2 L2 F' D L D' L' F L2 B2,c
F2 R2 B' R D R' D' B R2 F2,c
L2 F2 R' F' R F' L2 B' U2 B,c
R2 B2 U B2 D' R2 D R2 U' R2,c
R2 B2 U B2 U' B2 D B2 D' R2,c
B2 L2 U' R' U L2 U' R U B2,c
R2 B2 U' F2 U B2 U' F2 U R2,c
L2 B L B' U' L U' L' U L,RFU c
B2 R B R' U' B U2 B' U2 B,RFU c
F2 L F L2 B' U B L U' F,c
B2 R B2 R' F R B2 R' B2 F',c
B2 R' D2 R U' R' D2 R U B2,c
L2 B' U' B L2 F' D F' D' F2,c
F2 L' U2 L D' L' U2 L D F2,c
F2 L2 F' R U R' U' F L2 F2,c
B2 R2 B' U L U' L' B R2 B2,c
F2 L2 D R D' L2 D R' D' F2,c
R2 F2 D B2 D' F2 D B2 D' R2,c
L2 B2 D' R2 U R2 U' B2 D L2,c
B2 R2 D2 F2 L' R' D2 B2 L' R',c
B2 R2 F D' R' D R F' R2 B2,c
B2 R2 F R F' R B2 L U2 L',c
F2 L2 B L' D' L D B' L2 F2,c
F2 L2 B' R' B L2 B' R B F2,c
R2 F2 L' B2 L' R2 B2 L' F2 L',c
R2 F2 L' B2 L F2 L' B2 L R2,c
B2 R2 U L U' R2 U L' U' B2,c
