alg,notes
L2 D2 R2 D' F D' L2,
L2 D2 R2 D' F2 D' L2,
L2 D2 R2 D2 L' U L',
L2 D2 R2 D2 L' U' L',
L2 D2 R2 D2 L' U2 L',
L2 F D R D' F' L2,
L2 F D2 R2 D2 F' L2,
L2 F R' F' L2 U R,
L2 F R' F' L2 U' R,
L2 F R' F' L2 U2 R,
L2 F' R2 F R2 F L2,RFL
L2 F' R2 F' R2 F L2,RFL
L2 F' R2 F2 R2 F L2,RFL
L2 F2 R' F2 L2 U R,
L2 F2 R' F2 L2 U' R,
L2 F2 R' F2 L2 U2 R,
L2 F2 U D' L2 B2 D,
R B F R F' R' B',
R B R' D' R D B',
R B U' B2 U' R' B,RFU
R B U2 B2 R' U B,RFU
R B U2 B2 R' U' B,RFU
R B U2 B2 R' U2 B,RFU
R B U2 B2 U2 R' B,RFU
R B' R U2 B U2 R2,RFU
R B' R' B' R2 B2 R2,RF
R B' R' F' U B F,
R B' R' F' U2 B F,
R B' U2 R B' R2 B2,RFU
R B2 D' R D B2 R2,
R B2 D' R2 D R B2,
R B2 R B2 R U R,RFU
R B2 R B2 R U' R,RFU
R B2 R B2 R U2 R,RFU
R B2 R' B R2 B R2,RF
R B2 R' D' R' D B2,
R B2 R' D' R2 D B2,
R B2 R' U D' R2 D,
R B2 U R' D' R' D,
R B2 U' B2 U R' B2,RFU
R B2 U2 B' U2 R' B2,RFU
R D B U2 B D' R',
R D B U2 B2 D' R',
R D R B R' D' R',
R D' R2 U' D R B2,
R D2 F' L2 F D2 R',
R D2 L U L' D2 R',
R D2 L U2 L' D2 R',
R F D B' D' F' R',
R F D2 B D2 R F',
R F2 D2 B L D2 F2,
R U B' R B' R2 B2,RFU
R U B' R2 U R B,RFU
R U B' R2 U' R B,RFU
R U B' R2 U2 R B,RFU
R U B2 L' R' B2 L,
R U B2 R' B U B,RFU
R U B2 R' B U' B,RFU
R U B2 R' B U2 B,RFU
R U B2 R' B' U B',RFU
R U B2 R' B' U' B',RFU
R U B2 R' B' U2 B',RFU
R U L B' R' B L',
R U L' B2 L R' B2,
R U L' R' B2 L B2,
R U R U' D B2 D',
R U R' B2 L' B2 L,
R U R' B2 R B2 R',RFU
R U R2 B' U B R,RFU
R U R2 B' U' B R,RFU
R U R2 B' U2 B R,RFU
R U R2 B2 R B2 R,RFU
R U R2 B2 R' B2 R,RFU
R U R2 B2 R2 B2 R,RFU
R U' B' R B' R2 B2,RFU
R U' B' U B' R' B2,RFU
R U' B' U R' U B,RFU
R U' B' U R' U' B,RFU
R U' B' U R' U2 B,RFU
R U' B2 R B R2 B,RFU
R U' D B' U D' R',
R U' F2 D2 L D2 F2,
R U' R B' R2 U B,RFU
R U' R B' R2 U' B,RFU
R U' R B' R2 U2 B,RFU
R U2 B U' B R' B2,RFU
R U2 B' R B' R2 B2,RFU
R U2 B' U B' R' B2,RFU
R U2 B' U R' U B,RFU
R U2 B' U R' U' B,RFU
R U2 B' U R' U2 B,RFU
R U2 B' U' B' R' B2,RFU
R U2 B' U' R' U' B,RFU
R U2 B' U' R' U2 B,RFU
R U2 B' U2 B' R' B2,RFU
R U2 B' U2 R' U B,RFU
R U2 B' U2 R' U' B,RFU
R U2 B' U2 R' U2 B,RFU
R U2 B2 R B R2 B,RFU
R U2 B2 U' R' U B2,RFU
R U2 R B' R2 U B,RFU
R U2 R B' R2 U' B,RFU
R U2 R B' R2 U2 B,RFU
R' B R' B' R U B',RFU
R' B R' B' R U' B',RFU
R' B R' B' R U2 B',RFU
R' B R2 B' R2 B' R',RF
R' B' L' B L R B,
R' B' R B' R B2 R,RF
R' B' R B' R2 B2 R,RF
R' B' R U R B R,RFU
R' B' R U R2 B R,RFU
R' B' R U' R B R,RFU
R' B' R U2 R B R,RFU
R' B' R' B' R B2 R,RF
R' B' R' B' R' B2 R,RF
R' B' R' U B U R,RFU
R' B' R' U B U' R,RFU
R' B' R' U B U2 R,RFU
R' B' R' U R' B R,RFU
R' B' R' U R2 B R,RFU
R' B' R' U' B U R,RFU
R' B' R' U' B U' R,RFU
R' B' R' U' B U2 R,RFU
R' B' R' U' R' B R,RFU
