htm,alg,notes
7,U2 F' R' U2 R U F,
7,U2 F' U B U B' F,
7,U2 F' U B U F B',
7,U2 F' U B U2 B' F,
7,U2 F' U B U2 F B',
7,U2 F' U' B U' B' F,
7,U2 F' U' B U' F B',
7,U2 F' U' F2 R2 F' R2,
7,U2 F' U2 B F U B',
7,U2 F' U2 B F U' B',
7,U2 F' U2 B F U2 B',
7,U2 F' U2 F B U B',
7,U2 F' U2 F B U' B',
7,U2 F' U2 F B U2 B',
7,U2 F' U2 F R' U R,
7,U2 F' U2 F R' U' R,
7,U2 F' U2 F R' U2 R,
7,U2 F' U2 R' U R F,
7,U2 F' U2 R' U' R F,
7,U2 F' U2 R' U2 R F,
7,U2 R F R F' U2 R',
7,U2 R F R' F' U2 R',
7,U2 R F R2 F' U2 R',
7,U2 R U F R2 F' R',
7,U2 R U' F R' F' R',
7,U2 R U2 R' B U B',
7,U2 R U2 R' B U' B',
7,U2 R U2 R' B U2 B',
7,U2 R' B' R B U R,
7,U2 R' B' R B U' R,
7,U2 R' B' R B U2 R,
7,U2 R' F' U2 F2 R F',
7,U2 R' U2 B' R2 B R,
7,U2 R' U2 R F' U F,
7,U2 R' U2 R' F R2 F',
7,U2 R2 B' R2 B2 U B',
7,U2 R2 B' R2 B2 U' B',
7,U2 R2 B' R2 B2 U2 B',
7,U2 R2 F R2 F2 U2 F,
7,U2 R2 U2 B U2 B' R2,
7,U2 R2 U2 F' U2 F R2,
6,B R B U2 R' B',
6,B R U B R' B',
6,B R U B' R' B',
6,B R U B2 R' B',
6,B R' B R B' R,
6,B R2 B R2 U B',
6,B R2 B R2 U' B',
6,B R2 B R2 U2 B',
6,B U R2 B R2 B',
6,B U2 B R2 B2 R2,
6,B U2 R2 B' R2 B',
6,B' D' R D U B,
6,B' D' R D U' B,
6,B' D' R' D U B,
6,B' D' R' D U' B,
6,B' D' U R D B,
6,B' D' U R' D B,
6,B' D' U' R D B,
6,B' D2 L2 F' L2 D2,
6,B' L2 D2 F' D2 L2,
6,B' R U R B R2,
6,B' R U' B U2 R',
6,B' R U' R B R2,
6,B' R U2 B U' R',
6,B' R' U R' B R2,
6,B' R' U' R' B R2,
6,B' R' U2 R' B R2,
6,B' R2 B' R' B2 R',
6,B' R2 U B U' R2,
6,B' R2 U2 B U2 R2,
6,B' U R B U R',
6,B' U R B U' R',
6,B' U R U' B R',
6,B' U' R B U R',
6,B' U2 R B U2 R',
6,B' U2 R U2 B R',
6,B2 D' R U R2 D,
6,B2 R B R B R2,
6,B2 R B U2 B R',
6,B2 R B' U B' R',
6,B2 R2 B R' B R',
6,B2 R2 B2 R' U2 R',
6,B2 U2 R U2 B2 R',
6,B2 U2 R U2 R' B2,
6,D B2 D' R U R2,
6,D R2 D U' B2 D2,
6,D U B2 D' U R2,
6,D U' B2 D' U R2,
6,D' B' R2 B R2 D,
6,D' B2 D' U R2 D2,
6,D' F R2 F' R2 D,
6,D' R2 D B U' B2,
6,D' R2 D B' U' B2,
6,D' R2 F R2 F' D,
6,D' R2 U' R D B2,
6,D' U R2 D U' B2,
6,D' U' R2 D U' B2,
6,D2 B2 D' U R2 D',
6,D2 F2 L' F2 D2 R',
6,D2 R2 D U' B2 D,
6,F2 D2 L' D2 F2 R',
6,L2 D2 F D2 L2 B,
6,R B U2 B R' B2,
6,R B' R B' R2 B2,
6,R D U B D' R',
6,R D U B' D' R',
6,R D U B2 D' R',
6,R U B' R' U B,
6,R U B' R' U' B,
6,R U B' R' U2 B,
6,R U R B2 R2 B2,
6,R U' B' U R' B,
6,R U' R B2 R2 B2,
6,R U2 B' U R' B,
6,R U2 B' U' R' B,
6,R U2 B' U2 R' B,
6,R U2 R B2 R2 B2,
6,R' B R' B' R B',
6,R' B' R' U B R,
6,R' B' R' U' B R,
6,R' B' R' U2 B R,
6,R' B' R2 U B R,
6,R' B' R2 U' B R,
6,R' B' R2 U2 B R,
6,R' B' U R' B R,
6,R' B' U R2 B R,
6,R' B' U' R' B R,
6,R' B' U2 R' B R,
6,R' B2 R B2 U R,
6,R' B2 R B2 U' R,
6,R' B2 R B2 U2 R,
6,R' B2 R' B2 U R,
6,R' B2 R' B2 U' R,
6,R' B2 R' B2 U2 R,
6,R' B2 R2 B2 U R,
6,R' B2 R2 B2 U' R,
6,R' B2 R2 B2 U2 R,
6,R' U B2 R B2 R,
6,R' U B2 R' B2 R,
6,R' U R' B2 R2 B2,
6,R' U' B2 R B2 R,
6,R' U' B2 R' B2 R,
6,R' U' R' B2 R2 B2,
6,R' U2 B2 R B2 R,
6,R' U2 B2 R' B2 R,
6,R' U2 R' B2 R2 B2,
6,R2 B' R' U R' B,
6,R2 B2 R' B R' B,
6,R2 B2 R2 B U B,
6,R2 B2 R2 B U' B,
6,R2 B2 R2 B U2 B,
6,R2 B2 R2 B' U B',
6,R2 B2 R2 B' U' B',
6,R2 B2 R2 B' U2 B',
6,R2 U' R D B2 D',
6,R2 U2 B' U2 R2 B,
7,U B R B U' R' B',
7,U B R B' U' R' B',
7,U B R B2 U' R' B',
7,U B R U' B R' B',
7,U B R U' B' R' B',
7,U B R U' B2 R' B',
7,U B U B R2 B2 R2,
7,U B U R2 B' R2 B',
7,U B U' R2 B R2 B',
7,U B' D' U' R' D B,
7,U B' R U B U2 R',
7,U B' R U2 B U2 R',
7,U B' R U2 R B R2,
7,U B' U R U2 B R',
7,U B' U' R B U2 R',
7,U B' U2 R B U R',
7,U B' U2 R U B R',
7,U B2 R B U' B R',
7,U B2 R B' U' B' R',
7,U B2 R2 B2 R' U' R',
7,U B2 U B' D' R2 D,
7,U B2 U' R U B2 R',
7,U D B2 L' B2 L D',
7,U D B2 U B' D' R2,
7,U D' R2 U' R' D B2,
7,U R B U' B R' B2,
7,U R B' U' B' R' B2,
7,U R B' U' R' U' B,
7,U R B' U' R' U2 B,
7,U R B2 U' R' U B2,
7,U R D B D' U' R',
7,U R D B' D' U' R',
7,U R D B2 D' U' R',
7,U R D U' B D' R',
7,U R D U' B' D' R',
7,U R D U' B2 D' R',
7,U R U B' U R' B,
7,U R U B' U2 R' B,
7,U R U' B' R' U B,
7,U R U' B' R' U' B,
7,U R U' B' R' U2 B,
7,U R' B' U' R2 B R,
7,U R' U' B2 R2 B2 R,
7,U R2 B' R' U' R' B,
7,U R2 U B' U' R2 B,
7,U R2 U' R' D B2 D',
7,U R2 U2 B' U2 B R2,
7,U' B R B U R' B',
7,U' B R B' U R' B',
7,U' B R U2 B R' B',
7,U' B R U2 B' R' B',
7,U' B R U2 B2 R' B',
7,U' B R2 B' R2 U B',
7,U' B R2 B' R2 U' B',
7,U' B R2 B' R2 U2 B',
7,U' B U' B R2 B2 R2,
7,U' B U' R2 B' R2 B',
7,U' B U2 R2 B R2 B',
7,U' B' U B' R2 B2 R2,
7,U' B' U' B' R2 B2 R2,
7,U' B' U2 B' R2 B2 R2,
7,U' B2 D' R' U R2 D,
7,U' B2 R B U B R',
7,U' B2 R B' U2 B' R',
7,U' B2 R2 B2 R U R,
7,U' B2 R2 B2 R U' R,
7,U' B2 R2 B2 R U2 R,
7,U' B2 R2 B2 R' U R',
7,U' D B2 D' R' U R2,
7,U' D L' B2 L B2 D',
7,U' D R B2 R' B2 D',
7,U' R B U B R' B2,
7,U' R B2 U2 R' U2 B2,
7,U' R D B D' U R',
7,U' R D B2 D' U R',
7,U' R U' B' U2 R' B,
7,U' R' U B2 R2 B2 R,
7,U' R2 D B U' B2 D',
7,U2 B R B' U2 R' B',
7,U2 B R B2 U R' B',
7,U2 B R B2 U2 R' B',
